"festival_title","start_date","end_date","category","sub_category","source","latitude","longitude","address"
"단단단페스티벌","11/19","11/23","축제","가을문화축제","GangwonTour","37.7482373527154","128.894915665037","강원특별자치도 강릉시 단오장길 1 강릉단오제전수교육관"
"국가유산 미디어아트 강릉대도호부관아","10/5","10/27","축제","가을문화축제","GangwonTour","37.7529472198585","128.891906196087","강릉시 임영로131번길 6"
"강릉단오제","5/27","6/3","축제","전통문화축제","GangwonTour","37.7482373527154","128.894915665037","강원특별자치도 강릉시 단오장길 1"
"명주인형극제","8/20","8/24","축제","문화예술축제","GangwonTour","37.7503967772824","128.88978839986","강릉시 경강로2021번길 9-1 명주"
"강릉국제청소년예술축전","7/26","7/29","축제","문화예술축제","GangwonTour","37.7574368042117","128.89613354768","강원특별자치도 강릉시 임당동 101-19 강릉월화거리"
"강릉은 극장이다","11/1","11/3","축제","문화예술축제","GangwonTour","37.7717121623881","128.895293959672","강원 강릉시 종합운동장길 84"
"강릉 보현사 산사천년문화재","10/25","10/26","축제","가을문화축제","GangwonTour","37.7369711960746","128.769941710234","강릉시 성산면 보현길 396"
"강릉 국가유산 야행","8/14","8/16","축제","문화예술축제","GangwonTour","37.7529472198585","128.891906196087","강원특별자치도 강릉시 임영로131번길 6 강릉대도호부관아"
"경포 썸머 페스티벌","7/29","8/4","축제","문화예술축제","GangwonTour","37.8048138583802","128.907326590531","강릉시 강문동 257-6 강릉 경포해수욕장"
"강릉커피축제","10/23","10/26","축제","가을먹거리축제","GangwonTour","37.789987676791","128.907936269409","강원특별자치도 강릉시 난설헌로 131"
"난설헌문화제","5/1","5/6","축제","전통문화축제","GangwonTour","37.7918710332224","128.90966068284","강원 강릉시 난설헌로193번길 1-16"
"강릉해양레저 펫가족 힐링페스티벌","6/7","6/8","축제","전통문화축제","GangwonTour","37.7768513530577","128.938127787474","강원특별자치도 강릉시 송정길30번안길 20-3"
"강릉비치비어페스티벌","6/27","6/29","축제","여름먹거리축제","GangwonTour","37.8048138583802","128.907326590531","강릉시 강문동 257-6 강릉 경포해수욕장"
"강릉국제아트페스티벌","3/14","4/20","축제","전통문화축제","GangwonTour","37.7645195812136","128.899617238918","강원 강릉시 용지로 176"
"강릉누들축제","10/18","10/20","축제","가을먹거리축제","GangwonTour","37.7574368042117","128.89613354768","강원특별자치도 강릉시 임당동 101-19 강릉월화거리"
"강릉시 반려동물문화축제","10/9","10/9","축제","가을문화축제","GangwonTour","37.7736794673635","128.89841805972","강원 강릉시 종합운동장길 69 강릉종합운동장"
"경포 벚꽃 축제","4/4","4/9","축제","문화예술축제","GangwonTour","37.79224990374974","128.8962530823248","강원 강릉시 운정동 643"
